file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3
Crawfordsville-TP6-4351_23_20,1229.0238095238096,881.6706349206349,670.1547619047619,1932.547619047619,1574.107142857143,548.8174603174604,Crawfordsville-TP6-4351,23,20,0.03996089508541093,0.024490328581681025,-0.0067183098918437035
Crawfordsville-TP6-4352_19_3,1146.4710743801652,818.3471074380166,621.599173553719,1843.5495867768595,1496.702479338843,508.1528925619835,Crawfordsville-TP6-4352,19,3,0.03862758142407768,0.04136715182451926,0.032005478651918225
Crawfordsville-TP6-4352_7_5,1213.6825396825398,869.9206349206349,664.5,1864.031746031746,1534.6349206349207,535.281746031746,Crawfordsville-TP6-4352,7,5,0.0383531146556904,-0.003742581050425814,-0.016130376852021486
Crawfordsville-TP6-4353_35_44,1603.0330578512396,1147.5,822.5123966942149,2472.971074380165,2041.219008264463,632.297520661157,Crawfordsville-TP6-4353,35,44,0.05300979394749638,-0.055916964499006884,0.010166658540347765
Crawfordsville-TP6-4352_3_6,1083.5912698412699,789.4126984126984,602.7142857142857,1708.813492063492,1394.4920634920634,501.25396825396825,Crawfordsville-TP6-4352,3,6,0.034897328652880234,0.03037760105617676,0.018306828376949906
Crawfordsville-TP6-4352_22_7,1132.9793388429753,809.400826446281,610.3181818181819,1815.6652892561983,1465.6818181818182,515.6115702479339,Crawfordsville-TP6-4352,22,7,0.03770415928290979,0.049017014108529884,-0.0022577295209066425
Crawfordsville-TP6-4352_17_3,1274.3463203463205,914.6666666666666,695.2251082251082,1999.6926406926407,1639.4978354978355,560.2597402597403,Crawfordsville-TP6-4352,17,3,0.041571336815345056,0.014659098018520231,0.022233788873270214
Crawfordsville-TP6-4351_5_13,1100.2261904761904,784.7063492063492,602.202380952381,1758.5912698412699,1419.7063492063492,489.7936507936508,Crawfordsville-TP6-4351,5,13,0.03653922246146714,0.038848785853104265,-0.012096871635104334
Crawfordsville-TP6-4353_17_42,1613.5330578512396,1148.7148760330579,834.5165289256198,2501.6570247933882,2073.3884297520663,623.7644628099174,Crawfordsville-TP6-4353,17,42,0.054017576815048436,-0.0583519738297512,0.04976035636574832
Crawfordsville-TP6-4352_22_6,1277.2424242424242,922.7489177489177,706.7445887445888,2002.008658008658,1644.7056277056276,588.7099567099567,Crawfordsville-TP6-4352,22,6,0.04101984248804045,0.029787737879124233,0.03622987055575493
Crawfordsville-TP6-4351_5_14,1169.857142857143,828.3293650793651,630.3730158730159,1917.6825396825398,1535.8095238095239,516.5436507936508,Crawfordsville-TP6-4351,5,14,0.040429914451727764,0.06504292993065684,0.008880335457533018
Crawfordsville-TP6-4352_4_6,1288.034632034632,912.2121212121212,692.8658008658009,2017.142857142857,1631.6796536796537,564.5108225108225,Crawfordsville-TP6-4352,4,6,0.041865316209385,0.022153678662614334,-0.0643836948519668
Crawfordsville-TP6-4351_23_17,993.8295454545455,721.3219696969697,545.5833333333334,1609.1742424242425,1291.5189393939395,454.25,Crawfordsville-TP6-4351,23,17,0.03325646332064097,0.048691660670587694,0.0019459518235064356
Crawfordsville-TP6-4353_16_42,1864.5930735930735,1286.034632034632,945.8614718614718,2899.164502164502,2371.4502164502164,703.8831168831168,Crawfordsville-TP6-4353,16,42,0.06310453002351328,-0.049926029954580654,-0.06284529026999111
Crawfordsville-TP6-4353_27_46,1275.530303030303,905.2727272727273,674.4242424242424,1973.3333333333333,1615.5871212121212,539.5984848484849,Crawfordsville-TP6-4353,27,46,0.04139350080984498,-0.008588137571214792,-0.031857688177305395
Crawfordsville-TP6-4353_36_43,1431.7007575757575,1001.5984848484849,743.8295454545455,2186.534090909091,1813.25,560.3977272727273,Crawfordsville-TP6-4353,36,43,0.04686460457069985,-0.0534635235391485,-0.012175916569434519
Crawfordsville-TP6-4351_11_19,1094.284090909091,786.0871212121212,601.5530303030303,1730.6363636363637,1396.3333333333333,485.6515151515151,Crawfordsville-TP6-4351,11,19,0.03571053785869242,0.026932498804432867,-0.03712118723691192
