file_,Green_mean,Red_mean,NGRDI_mean,location,Green_mean_sat,Red_mean_sat,NGRDI_mean_sat
Crawfordsville-TP1-4353_16_44,128.78593212355398,89.6441396488819,-0.1765798863958486,Crawfordsville,525.295,343.955,-0.2253443350567468
Crawfordsville-TP1-4353_16_45,110.87925224870408,74.49371635894927,-0.1885068233179719,Crawfordsville,485.318407960199,305.67164179104475,-0.2492878403930699
Crawfordsville-TP1-4353_16_46,117.06437353115156,79.66906745111832,-0.1868140909786015,Crawfordsville,507.8476190476191,325.43333333333334,-0.2360317052332022
Crawfordsville-TP1-4353_17_42,131.86681703713586,90.95749608915514,-0.1897194399824352,Crawfordsville,548.6435643564356,351.7029702970297,-0.2365664630309324
Crawfordsville-TP1-4353_17_43,110.1058024577659,70.65522805809265,-0.2197845279186557,Crawfordsville,491.4134615384616,310.4567307692308,-0.2560327896473599
Crawfordsville-TP1-4353_17_44,141.4809819959442,99.20914027545926,-0.1780473306420434,Crawfordsville,561.8104265402843,364.6919431279621,-0.2318902179902405
Crawfordsville-TP1-4353_17_45,124.5920644835788,82.14286572327799,-0.2011575830834036,Crawfordsville,526.4929577464789,344.793427230047,-0.2442744541268159
Crawfordsville-TP1-4353_17_46,137.2134479466671,100.98691546798662,-0.1546433743951755,Crawfordsville,572.815,381.345,-0.219801127907584
Crawfordsville-TP1-4353_18_42,120.19928495017172,79.52332558494936,-0.2068744375444805,Crawfordsville,516.165,324.405,-0.2486641314746321
Crawfordsville-TP1-4353_18_43,133.22591024487434,92.9642530046918,-0.1837036804804077,Crawfordsville,550.8695652173913,357.231884057971,-0.2265431127283677
Crawfordsville-TP1-4353_18_44,130.9911360361723,94.80406540307752,-0.1624875476246606,Crawfordsville,539.9029126213592,358.02912621359224,-0.2361748682944958
Crawfordsville-TP1-4353_18_45,130.67634196569847,92.42307203002376,-0.1794850714461002,Crawfordsville,537.935960591133,348.00985221674875,-0.229069037704825
Crawfordsville-TP1-4353_18_46,125.72539553443724,89.16419536937248,-0.1801893702175379,Crawfordsville,492.2067307692308,312.3894230769231,-0.2398324470263088
Crawfordsville-TP1-4353_19_42,117.78005836849223,78.17369242935767,-0.1991564771421694,Crawfordsville,544.8790697674418,360.1209302325581,-0.2218763055026809
Crawfordsville-TP1-4353_19_43,131.4633054904553,97.98639504837448,-0.1438643584203612,Crawfordsville,528.7142857142857,364.5047619047619,-0.2085243715401869
Crawfordsville-TP1-4353_19_44,122.94607679398592,86.30476129151693,-0.1744989909690437,Crawfordsville,509.755,347.98,-0.2031274224315085
Crawfordsville-TP1-4353_19_45,115.722992295665,78.34955888428915,-0.1874437545133844,Crawfordsville,504.93,331.41,-0.2198908092860691
Crawfordsville-TP1-4353_19_46,127.43176300345688,88.54351234022027,-0.1751015245679712,Crawfordsville,517.4619047619047,332.3666666666667,-0.2379397427180011
Crawfordsville-TP1-4353_20_42,123.9795431243744,86.19602209407407,-0.1742625363965523,Crawfordsville,533.539603960396,350.34653465346537,-0.2274291273337249
Crawfordsville-TP1-4353_20_43,116.02730824478036,77.50808544539358,-0.1969011251351384,Crawfordsville,513.08,337.03,-0.228157390050405
Crawfordsville-TP1-4353_20_44,121.36780508055116,84.97367118519583,-0.1680024815385239,Crawfordsville,493.9714285714286,323.6333333333333,-0.2337666336725826
Crawfordsville-TP1-4353_20_45,134.05661221749833,97.3540900808746,-0.1603876083436551,Crawfordsville,532.852534562212,359.2073732718894,-0.2104311214734597
Crawfordsville-TP1-4353_20_46,119.01358144457184,77.90617659084896,-0.2136840882542477,Crawfordsville,525.1256038647343,337.4782608695652,-0.2382366422871603
Crawfordsville-TP1-4353_21_42,110.10601971250924,75.07926188048542,-0.1927482537022098,Crawfordsville,481.9504950495049,317.03465346534654,-0.2279189490350618
Crawfordsville-TP1-4353_21_43,118.79494539930867,77.91463633427823,-0.2039770321564157,Crawfordsville,498.52941176470586,314.3137254901961,-0.2521449738062976
Crawfordsville-TP1-4353_21_44,132.44742461981906,95.9005857632483,-0.1615934893617746,Crawfordsville,526.75,342.4855769230769,-0.2442044701571444
Crawfordsville-TP1-4353_21_45,112.1487258109299,77.27492143204928,-0.1782112383195008,Crawfordsville,481.105,305.57,-0.2544994216519243
Crawfordsville-TP1-4353_21_46,135.6021851158079,100.544855973695,-0.1465098802298081,Crawfordsville,570.2288557213931,379.8756218905473,-0.2197147324978101
Crawfordsville-TP1-4353_22_42,121.8807046938925,82.528666823916,-0.1923165688272937,Crawfordsville,509.4739336492891,326.4028436018957,-0.2472445962605104
Crawfordsville-TP1-4353_22_43,131.50283725931624,86.92658163614615,-0.2095381939083985,Crawfordsville,578.4413145539907,363.2112676056338,-0.2503692985595367
Crawfordsville-TP1-4353_22_44,133.37470586579033,97.79812236787592,-0.1543561892974993,Crawfordsville,545.4057971014493,345.81159420289856,-0.2484684746414246
Crawfordsville-TP1-4353_22_45,110.94413576276092,74.0411493679843,-0.1967920823472678,Crawfordsville,498.1831683168317,329.13861386138615,-0.2270445347461579
Crawfordsville-TP1-4353_22_46,110.8158644002084,73.69259039380319,-0.1963346627691759,Crawfordsville,492.1148325358852,311.0717703349282,-0.24584594256527
Crawfordsville-TP1-4353_23_42,113.22065976863804,76.52846135122086,-0.1914395435417947,Crawfordsville,493.87745098039215,314.8382352941176,-0.2496867872168492
