file,Red,Green,Blue,GLI,NGRDI
Crawfordsville-TP2-4353_32_42,59,76,68,0.08960573476702509,0.1259259259259259
Crawfordsville-TP2-4353_32_42,62,78,70,0.08333333333333333,0.11428571428571428
Crawfordsville-TP2-4353_32_42,71,85,77,0.06918238993710692,0.08974358974358974
Crawfordsville-TP2-4353_32_42,84,96,86,0.06077348066298342,0.06666666666666667
Crawfordsville-TP2-4353_32_42,75,88,80,0.0634441087613293,0.07975460122699386
Crawfordsville-TP2-4353_32_42,57,75,68,0.09090909090909091,0.13636363636363635
Crawfordsville-TP2-4353_32_42,66,81,73,0.07641196013289037,0.10204081632653061
Crawfordsville-TP2-4353_32_42,84,94,86,0.05027932960893855,0.056179775280898875
Crawfordsville-TP2-4353_32_42,71,84,74,0.07348242811501597,0.08387096774193549
Crawfordsville-TP2-4353_32_42,32,55,46,0.1702127659574468,0.26436781609195403
Crawfordsville-TP2-4353_32_42,63,76,65,0.08571428571428572,0.09352517985611511
Crawfordsville-TP2-4353_32_42,86,96,83,0.06371191135734072,0.054945054945054944
Crawfordsville-TP2-4353_32_42,36,58,47,0.1658291457286432,0.23404255319148937
Crawfordsville-TP2-4352_13_7,83,96,82,0.07563025210084033,0.07262569832402235
Crawfordsville-TP2-4352_13_7,47,72,56,0.1659919028340081,0.21008403361344538
Crawfordsville-TP2-4352_13_7,60,82,65,0.13494809688581316,0.15492957746478872
Crawfordsville-TP2-4352_13_7,87,103,85,0.08994708994708994,0.08421052631578947
Crawfordsville-TP2-4352_13_7,78,97,79,0.10541310541310542,0.10857142857142857
Crawfordsville-TP2-4352_13_7,63,87,68,0.14098360655737704,0.16
Crawfordsville-TP2-4352_13_7,66,88,71,0.12460063897763578,0.14285714285714285
Crawfordsville-TP2-4352_13_7,80,97,80,0.096045197740113,0.096045197740113
Crawfordsville-TP2-4352_13_7,62,84,68,0.12751677852348994,0.1506849315068493
Crawfordsville-TP2-4352_13_7,72,90,76,0.0975609756097561,0.1111111111111111
Crawfordsville-TP2-4352_13_7,74,90,77,0.08761329305135952,0.0975609756097561
Crawfordsville-TP2-4352_13_7,72,87,76,0.08074534161490683,0.09433962264150944
Crawfordsville-TP2-4352_13_7,66,84,71,0.10163934426229508,0.12
Crawfordsville-TP2-4352_13_7,77,91,79,0.07692307692307693,0.08333333333333333
Crawfordsville-TP2-4352_13_7,84,97,85,0.06887052341597796,0.0718232044198895
Crawfordsville-TP2-4352_13_7,92,103,90,0.061855670103092786,0.05641025641025641
Crawfordsville-TP2-4352_13_7,92,101,90,0.052083333333333336,0.046632124352331605
Crawfordsville-TP2-4352_13_7,81,93,82,0.0659025787965616,0.06896551724137931
Crawfordsville-TP2-4352_13_7,86,96,85,0.05785123966942149,0.054945054945054944
Crawfordsville-TP2-4352_13_7,83,93,82,0.05982905982905983,0.056818181818181816
Crawfordsville-TP2-4351_16_20,60,76,64,0.10144927536231885,0.11764705882352941
Crawfordsville-TP2-4351_16_20,53,70,59,0.1111111111111111,0.13821138211382114
Crawfordsville-TP2-4351_16_20,29,55,43,0.2087912087912088,0.30952380952380953
Crawfordsville-TP2-4352_23_9,57,75,65,0.10294117647058823,0.13636363636363635
Crawfordsville-TP2-4352_23_9,47,67,58,0.12133891213389121,0.17543859649122806
Crawfordsville-TP2-4352_23_9,60,78,67,0.10247349823321555,0.13043478260869565
Crawfordsville-TP2-4352_23_9,72,87,76,0.08074534161490683,0.09433962264150944
Crawfordsville-TP2-4352_23_9,75,90,79,0.07784431137724551,0.09090909090909091
Crawfordsville-TP2-4352_23_9,68,85,73,0.0932475884244373,0.1111111111111111
Crawfordsville-TP2-4352_23_9,65,82,70,0.09698996655518395,0.11564625850340136
Crawfordsville-TP2-4352_23_9,62,81,68,0.1095890410958904,0.13286713286713286
Crawfordsville-TP2-4352_23_9,62,81,68,0.1095890410958904,0.13286713286713286
Crawfordsville-TP2-4352_23_9,65,82,71,0.09333333333333334,0.11564625850340136
Crawfordsville-TP2-4352_23_9,62,81,68,0.1095890410958904,0.13286713286713286
Crawfordsville-TP2-4352_23_9,62,79,68,0.09722222222222222,0.12056737588652482
Crawfordsville-TP2-4352_23_9,57,76,65,0.10948905109489052,0.14285714285714285
Crawfordsville-TP2-4352_23_9,69,85,74,0.08626198083067092,0.1038961038961039
Crawfordsville-TP2-4352_23_9,83,96,83,0.07262569832402235,0.07262569832402235
Crawfordsville-TP2-4352_23_9,74,88,76,0.07975460122699386,0.08641975308641975
Crawfordsville-TP2-4352_23_9,60,76,65,0.09747292418772563,0.11764705882352941
Crawfordsville-TP2-4352_23_9,51,70,59,0.12,0.15702479338842976
Crawfordsville-TP2-4352_23_9,48,67,56,0.12605042016806722,0.16521739130434782
Crawfordsville-TP2-4352_23_9,42,64,53,0.14798206278026907,0.20754716981132076
Crawfordsville-TP2-4353_33_46,78,93,79,0.08454810495626822,0.08771929824561403
Crawfordsville-TP2-4353_33_46,93,104,90,0.0639386189258312,0.05583756345177665
Crawfordsville-TP2-4353_33_46,93,105,91,0.06598984771573604,0.06060606060606061
Crawfordsville-TP2-4353_33_46,80,97,82,0.0898876404494382,0.096045197740113
Crawfordsville-TP2-4353_33_46,81,97,83,0.08379888268156424,0.0898876404494382
