file,RedMean,RedMedian,RedSum,GreenMean,GreenMedian,GreenSum,BlueMean,BlueMedian,BlueSum,GLIMean,GLIMedian,GLIsum,NGRDIMean,NGRDIMedian,NGRDISum
Crawfordsville-TP2-4352_13_8,71.09,74.0,14218,90.645,93.0,18129,74.125,76.0,14825,0.11651828294447597,0.11076060287416753,23.303656588895194,0.1324207225146246,0.11904761904761904,26.484144502924924
Crawfordsville-TP2-4352_13_9,69.815,71.0,13963,85.745,85.0,17149,73.66,74.0,14732,0.09800749504986167,0.08791208791208792,19.601499009972333,0.12112752077769735,0.09621536995439385,24.225504155539472
Crawfordsville-TP2-4352_14_2,59.871428571428574,61.0,12573,74.19047619047619,75.0,15580,65.51904761904763,65.0,13759,0.08682149405225181,0.07849829351535836,18.23251375097288,0.11320264483287083,0.10025123200309208,23.772555414902875
Crawfordsville-TP2-4352_14_3,67.61428571428571,68.0,14199,83.24285714285715,84.0,17481,71.9952380952381,73.0,15119,0.09437006411489127,0.08690660812471049,19.817713464127166,0.11877465327255234,0.09780009564801531,24.94267718723599
Crawfordsville-TP2-4352_14_4,64.47619047619048,65.0,13540,79.13333333333334,79.0,16618,68.98095238095237,70.0,14486,0.08933130868066817,0.08374150393785737,18.759574822940316,0.11188080587152241,0.10204081632653061,23.494969233019706
Crawfordsville-TP2-4352_14_5,67.22380952380952,71.0,14117,83.89047619047619,87.0,17617,71.87619047619047,74.0,15094,0.10325330668238442,0.08755664652567977,21.68319440330073,0.13151571458166128,0.0975609756097561,27.61830006214887
Crawfordsville-TP2-4352_14_6,71.26851851851852,72.0,15394,87.64814814814815,88.0,18932,73.81481481481481,74.0,15944,0.09952146248495612,0.09090909090909091,21.496635896750522,0.11309183081226436,0.1,24.427835455449102
Crawfordsville-TP2-4352_14_7,59.085972850678736,59.0,13058,75.73755656108597,75.0,16738,65.65610859728507,67.0,14510,0.10547178979197774,0.09090909090909091,23.30926554402708,0.14324920782276637,0.11428571428571428,31.65807492883137
Crawfordsville-TP2-4352_14_8,69.73364485981308,71.0,14923,86.67289719626169,88.0,18548,74.14953271028037,76.0,15868,0.09871641812704084,0.09036472509526403,21.12531347918674,0.12044238331762154,0.1038961038961039,25.77467002997101
Crawfordsville-TP2-4352_14_9,66.70476190476191,67.0,14008,84.30952380952381,85.0,17705,72.62380952380953,74.0,15251,0.10057167556906839,0.09090909090909091,21.120051869504362,0.12755200579827664,0.11324786324786325,26.785921217638094
Crawfordsville-TP2-4352_15_2,73.27586206896552,74.0,14875,90.55665024630542,90.0,18383,76.39901477832512,76.0,15509,0.09850472918048817,0.09695290858725762,19.9964600236391,0.11245011489788662,0.10344827586206896,22.827373324270983
Crawfordsville-TP2-4352_15_3,71.91,74.0,14382,87.555,88.0,17511,73.535,74.0,14707,0.09763397282026225,0.08983771587260261,19.526794564052448,0.1075668932176855,0.0938364779874214,21.513378643537102
Crawfordsville-TP2-4352_15_4,67.18,69.0,13436,82.615,84.0,16523,70.905,71.0,14181,0.09622382007463673,0.0859106529209622,19.244764014927345,0.11591123485496205,0.09722222222222222,23.18224697099241
