file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum
Crawfordsville-TP5-4351_8_19,965.7111111111111,984.5,173828,724.5,743.0,130410,596.7222222222222,607.5,107410,-0.035070196034336094,-0.037498304942961386,-6.312635286180497,-0.13774421731899084,-0.1435305050145568,-24.79395911741835,0.27475911144837667,0.26928587172140184,49.456640060707805,0.13291120999968306,0.1353255947376587,23.924017799942952,1278.4555555555555,1297.0,230122,508.6,507.0,91548,1679.8777777777777,1718.0,302378
Crawfordsville-TP5-4351_8_20,1014.14,1029.5,202828,766.13,771.5,153226,626.9,633.0,125380,-0.03247419867040131,-0.034058515884743054,-6.494839734080261,-0.13629105288199062,-0.14026500969589673,-27.258210576398124,0.2539232603868469,0.25100658149438637,50.78465207736939,0.11959851166419475,0.12051089393115846,23.91970233283895,1325.95,1331.0,265190,544.74,542.5,108948,1692.62,1711.5,338524
Crawfordsville-TP5-4351_9_13,1097.7222222222222,1091.5,197590,819.9888888888889,816.0,147598,649.4111111111112,643.5,116894,-0.028877382761417852,-0.031545978039875265,-5.197928897055213,-0.14068167764166276,-0.1438398548215408,-25.322701975499296,0.27540360829098887,0.2694850851079704,49.57264949237799,0.12332178399593939,0.12545992309967466,22.19792111926909,1481.5,1466.0,266670,562.2111111111111,557.5,101198,1907.888888888889,1900.0,343420
Crawfordsville-TP5-4351_9_14,965.0,942.0,173700,733.6444444444444,715.0,132056,607.7666666666667,590.0,109398,-0.03128365811675993,-0.0331827959519958,-5.631058461016787,-0.13017435082457846,-0.13109120188129442,-23.43138314842412,0.2657289734745441,0.2589823990185871,47.83121522541794,0.12224435199100747,0.12333318780787729,22.003983358381344,1276.5777777777778,1245.0,229784,525.6111111111111,512.5,94610,1642.7888888888888,1581.5,295702
Crawfordsville-TP5-4351_9_15,1014.4555555555555,1023.5,182602,797.6888888888889,797.5,143584,663.9777777777778,663.5,119516,-0.023678799901379468,-0.023733586749941128,-4.262183982248304,-0.11631221289050714,-0.12012449615898554,-20.936198320291286,0.23359311738285654,0.23179264020915563,42.04676112891418,0.11891008648104731,0.12211431233800202,21.403815566588516,1274.0,1287.5,229320,555.6666666666666,558.5,100020,1624.8666666666666,1647.5,292476
Crawfordsville-TP5-4351_9_16,945.8444444444444,911.5,170252,739.6333333333333,724.5,133134,617.5222222222222,603.0,111154,-0.023190488636529772,-0.02608468529765523,-4.174287954575359,-0.11382599118911792,-0.11938182968387254,-20.488678414041225,0.25206332140766263,0.24627044621599004,45.37139785337928,0.1156235478494024,0.12025209103592435,20.812238612892433,1224.6444444444444,1191.5,220436,521.6555555555556,513.0,93898,1559.6333333333334,1505.0,280734
Crawfordsville-TP5-4351_9_17,958.8395061728395,977.0,155332,739.5061728395061,750.0,119800,593.3333333333334,609.0,96120,-0.020369759615741008,-0.023270245113248527,-3.299901057750043,-0.1226574207366873,-0.13182897862232779,-19.870502159343342,0.2605730581004206,0.2558535547041294,42.212835412268134,0.11936155464390096,0.12315978456014362,19.336571852311955,1258.5185185185185,1280.0,203880,535.2592592592592,538.0,86712,1612.9382716049383,1634.0,261296
Crawfordsville-TP5-4351_9_18,969.1358024691358,971.0,157000,738.4691358024692,750.0,119632,610.2345679012345,607.0,98858,-0.031079913515953978,-0.03443169196593854,-5.0349459895845445,-0.13037049879534385,-0.1318619128466327,-21.1200208048457,0.24574467762700958,0.24176205341657994,39.81063777557555,0.11957126033246133,0.12204855337545727,19.370544173858736,1235.9012345679012,1229.0,200216,538.5061728395061,538.0,87238,1582.320987654321,1576.0,256336
Crawfordsville-TP5-4351_9_19,882.4268292682926,870.0,144718,695.9024390243902,685.0,114128,596.0975609756098,586.0,97760,-0.02867669515719396,-0.029688484318994172,-4.702978005779809,-0.11504292624852913,-0.11807549581283151,-18.867039904758776,0.2459950345850942,0.24337848934410256,40.343185671955446,0.11868671554366717,0.12159024223578659,19.464621349161416,1137.0975609756097,1129.5,186484,515.9268292682926,513.5,84612,1448.2560975609756,1442.0,237514
Crawfordsville-TP5-4351_9_20,917.97,941.5,183594,716.41,733.5,143282,587.2,600.5,117440,-0.019645464914197542,-0.02494068814287392,-3.9290929828395083,-0.11520451090878492,-0.12386508925536907,-23.040902181756984,0.2669579302585954,0.25257781252577816,53.391586051719074,0.12110565188726302,0.12826493823669488,24.221130377452603,1208.08,1217.5,241616,512.93,519.0,102586,1554.36,1583.5,310872
